phenotype,perturbation,mean_delta_macro_avg,std_delta_macro_avg,n_runs
ALL,shuffle_snippets,-0.0095987290154585,,1
ALL,irrelevant_noise_heavy,-0.007870397033388833,0.023886521157355362,3
ALL,contradiction,0.0,0.0,3
ALL,irrelevant_noise,0.0026585072231139,,1
ALL,lexical_noise_heavy,0.007734420840316166,0.020307521407063107,3
ALL,lexical_noise_medium,0.0080357142857142,,1
ALL,lexical_noise,0.0084935897435897,,1
long_context,shuffle_snippets,-0.0141692998357077,,1
long_context,contradiction,0.0,0.0,3
long_context,lexical_noise,0.0,,1
long_context,lexical_noise_medium,0.0,,1
long_context,lexical_noise_heavy,0.005952380952380934,0.010309826235528998,3
long_context,irrelevant_noise_heavy,0.008027459191674866,0.00908749128782917,3
long_context,irrelevant_noise,0.0142857142857142,,1
multi_answer_list,irrelevant_noise,-0.0773809523809523,,1
multi_answer_list,irrelevant_noise_heavy,-0.0694444444444444,0.05991932091484724,3
multi_answer_list,contradiction,0.0,0.0,3
multi_answer_list,shuffle_snippets,0.0,,1
multi_answer_list,lexical_noise,0.0083333333333333,,1
multi_answer_list,lexical_noise_medium,0.0083333333333333,,1
multi_answer_list,lexical_noise_heavy,0.021428571428571398,0.030187434126442755,3
