run_id,dataset,runtime,model,perturbation,seed,task,phenotype,n_gold,n_pred,pred_coverage,n_changed_vs_clean,macro_avg,yesno_acc,factoid_em,factoid_f1,list_f1,summary_rougeL,list_precision,list_recall,clean_run_id,delta__factoid_em,delta__factoid_f1,delta__list_f1,delta__list_precision,delta__list_recall,delta__macro_avg,delta__summary_rougeL,delta__yesno_acc
bioasq_TINY_mps_fp32_contradiction_seed13,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,contradiction,13,bioasq,ALL,24,24,1.0,6,0.147944414933117,0.0,0.0,0.0689709595959596,0.125,0.39780670013650843,0.1111111111111111,0.14285714285714285,bioasq_TINY_mps_fp32_clean_seed13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bioasq_TINY_mps_fp32_contradiction_seed13,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,contradiction,13,bioasq,long_context,17,17,1.0,6,0.11537441840750665,0.0,0.0,0.08276515151515151,0.0,0.37873252211487507,0.0,0.0,bioasq_TINY_mps_fp32_clean_seed13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bioasq_TINY_mps_fp32_contradiction_seed13,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,contradiction,13,bioasq,multi_answer_list,6,6,1.0,6,0.125,0.0,0.0,0.0,0.125,0.0,0.1111111111111111,0.14285714285714285,bioasq_TINY_mps_fp32_clean_seed13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bioasq_TINY_mps_fp32_contradiction_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,contradiction,42,bioasq,ALL,24,24,1.0,6,0.147944414933117,0.0,0.0,0.0689709595959596,0.125,0.39780670013650843,0.1111111111111111,0.14285714285714285,bioasq_TINY_mps_fp32_clean_seed42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bioasq_TINY_mps_fp32_contradiction_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,contradiction,42,bioasq,long_context,17,17,1.0,6,0.11537441840750665,0.0,0.0,0.08276515151515151,0.0,0.37873252211487507,0.0,0.0,bioasq_TINY_mps_fp32_clean_seed42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bioasq_TINY_mps_fp32_contradiction_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,contradiction,42,bioasq,multi_answer_list,6,6,1.0,6,0.125,0.0,0.0,0.0,0.125,0.0,0.1111111111111111,0.14285714285714285,bioasq_TINY_mps_fp32_clean_seed42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bioasq_TINY_mps_fp32_contradiction_seed97,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,contradiction,97,bioasq,ALL,24,24,1.0,6,0.147944414933117,0.0,0.0,0.0689709595959596,0.125,0.39780670013650843,0.1111111111111111,0.14285714285714285,bioasq_TINY_mps_fp32_clean_seed97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bioasq_TINY_mps_fp32_contradiction_seed97,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,contradiction,97,bioasq,long_context,17,17,1.0,6,0.11537441840750665,0.0,0.0,0.08276515151515151,0.0,0.37873252211487507,0.0,0.0,bioasq_TINY_mps_fp32_clean_seed97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bioasq_TINY_mps_fp32_contradiction_seed97,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,contradiction,97,bioasq,multi_answer_list,6,6,1.0,6,0.125,0.0,0.0,0.0,0.125,0.0,0.1111111111111111,0.14285714285714285,bioasq_TINY_mps_fp32_clean_seed97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bioasq_TINY_mps_fp32_irrelevant_noise_heavy_seed13,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,irrelevant_noise_heavy,13,bioasq,ALL,24,24,1.0,24,0.11461412998464311,0.0,0.0,0.0689709595959596,0.0,0.38948556034261284,0.0,0.0,bioasq_TINY_mps_fp32_clean_seed13,0.0,0.0,-0.125,-0.1111111111111111,-0.14285714285714285,-0.033330284948473884,-0.008321139793895593,0.0
