dataset,runtime,model,phenotype,perturbation,metric,n,delta_mean,delta_std,delta_min,delta_max,rank_worst
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,contradiction,factoid_em,3,0.0,0.0,0.0,0.0,1.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,irrelevant_noise,factoid_em,1,0.0,,0.0,0.0,1.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,irrelevant_noise_heavy,factoid_em,3,0.0,0.0,0.0,0.0,1.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,lexical_noise,factoid_em,1,0.0,,0.0,0.0,1.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,lexical_noise_heavy,factoid_em,3,0.0,0.0,0.0,0.0,1.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,lexical_noise_medium,factoid_em,1,0.0,,0.0,0.0,1.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,shuffle_snippets,factoid_em,1,0.0,,0.0,0.0,1.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,shuffle_snippets,factoid_f1,1,-0.003050582499735,,-0.003050582499735,-0.003050582499735,1.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,contradiction,factoid_f1,3,0.0,0.0,0.0,0.0,2.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,irrelevant_noise,factoid_f1,1,0.0,,0.0,0.0,2.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,irrelevant_noise_heavy,factoid_f1,3,0.0085470085470085,0.0148038530561442,0.0,0.0256410256410256,3.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,lexical_noise_heavy,factoid_f1,3,0.0117845117845117,0.0162351022912338,0.0,0.0303030303030302,4.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,lexical_noise_medium,factoid_f1,1,0.0238095238095237,,0.0238095238095237,0.0238095238095237,5.0
