dataset,runtime,model,phenotype,perturbation,metric,n,delta_mean,delta_std,delta_min,delta_max
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,contradiction,factoid_em,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,irrelevant_noise,factoid_em,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,irrelevant_noise_heavy,factoid_em,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,lexical_noise,factoid_em,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,lexical_noise_heavy,factoid_em,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,lexical_noise_medium,factoid_em,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,shuffle_snippets,factoid_em,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,contradiction,factoid_f1,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,irrelevant_noise,factoid_f1,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,irrelevant_noise_heavy,factoid_f1,3,0.008547008547008532,0.014803853056144227,0.0,0.0256410256410256
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,lexical_noise,factoid_f1,1,0.0256410256410256,,0.0256410256410256,0.0256410256410256
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,lexical_noise_heavy,factoid_f1,3,0.011784511784511733,0.016235102291233885,0.0,0.0303030303030302
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,lexical_noise_medium,factoid_f1,1,0.0238095238095237,,0.0238095238095237,0.0238095238095237
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,shuffle_snippets,factoid_f1,1,-0.003050582499735,,-0.003050582499735,-0.003050582499735
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,contradiction,list_f1,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,irrelevant_noise,list_f1,1,-0.0773809523809523,,-0.0773809523809523,-0.0773809523809523
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,irrelevant_noise_heavy,list_f1,3,-0.0694444444444444,0.05991932091484724,-0.125,-0.0059523809523809
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,lexical_noise,list_f1,1,0.0083333333333333,,0.0083333333333333,0.0083333333333333
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,lexical_noise_heavy,list_f1,3,0.021428571428571398,0.030187434126442755,0.0,0.0559523809523809
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,lexical_noise_medium,list_f1,1,0.0083333333333333,,0.0083333333333333,0.0083333333333333
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,shuffle_snippets,list_f1,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,contradiction,list_precision,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,irrelevant_noise,list_precision,1,-0.0694444444444444,,-0.0694444444444444,-0.0694444444444444
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,irrelevant_noise_heavy,list_precision,3,-0.05555555555555553,0.05991932091484719,-0.1111111111111111,0.0079365079365079
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,lexical_noise,list_precision,1,0.0138888888888888,,0.0138888888888888,0.0138888888888888
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,lexical_noise_heavy,list_precision,3,0.0231481481481481,0.028912027770362937,0.0,0.0555555555555555
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,lexical_noise_medium,list_precision,1,0.0138888888888888,,0.0138888888888888,0.0138888888888888
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,shuffle_snippets,list_precision,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,contradiction,list_recall,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,irrelevant_noise,list_recall,1,-0.0873015873015873,,-0.0873015873015873,-0.0873015873015873
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,irrelevant_noise_heavy,list_recall,3,-0.08730158730158723,0.05991932091484725,-0.1428571428571428,-0.0238095238095237
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,lexical_noise,list_recall,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,lexical_noise_heavy,list_recall,3,0.0185185185185185,0.03207501495497917,0.0,0.0555555555555555
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,lexical_noise_medium,list_recall,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,shuffle_snippets,list_recall,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,contradiction,macro_avg,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,irrelevant_noise,macro_avg,1,0.0026585072231139,,0.0026585072231139,0.0026585072231139
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,irrelevant_noise_heavy,macro_avg,3,-0.007870397033388833,0.023886521157355362,-0.0333302849484738,0.0140471186117253
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,lexical_noise,macro_avg,1,0.0084935897435897,,0.0084935897435897,0.0084935897435897
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,lexical_noise_heavy,macro_avg,3,0.007734420840316166,0.020307521407063107,-0.0105698353155733,0.0295795028941096
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,lexical_noise_medium,macro_avg,1,0.0080357142857142,,0.0080357142857142,0.0080357142857142
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,shuffle_snippets,macro_avg,1,-0.0095987290154585,,-0.0095987290154585,-0.0095987290154585
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,contradiction,summary_rougeL,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,irrelevant_noise,summary_rougeL,1,0.0880149812734082,,0.0880149812734082,0.0880149812734082
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,irrelevant_noise_heavy,summary_rougeL,3,0.0294158477638805,0.034740968473131295,-0.0083211397938955,0.0600688533272803
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,lexical_noise,summary_rougeL,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,lexical_noise_heavy,summary_rougeL,3,-0.0022753998518185623,0.07862699898919305,-0.0556631796461319,0.0880149812734082
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,lexical_noise_medium,summary_rougeL,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,shuffle_snippets,summary_rougeL,1,-0.0353443335620992,,-0.0353443335620992,-0.0353443335620992
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,contradiction,yesno_acc,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,irrelevant_noise,yesno_acc,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,irrelevant_noise_heavy,yesno_acc,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,lexical_noise,yesno_acc,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,lexical_noise_heavy,yesno_acc,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,lexical_noise_medium,yesno_acc,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,ALL,shuffle_snippets,yesno_acc,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,contradiction,factoid_em,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,irrelevant_noise,factoid_em,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,irrelevant_noise_heavy,factoid_em,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,lexical_noise,factoid_em,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,lexical_noise_heavy,factoid_em,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,lexical_noise_medium,factoid_em,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,shuffle_snippets,factoid_em,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,contradiction,factoid_f1,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,irrelevant_noise,factoid_f1,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,irrelevant_noise_heavy,factoid_f1,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,lexical_noise,factoid_f1,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,lexical_noise_heavy,factoid_f1,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,lexical_noise_medium,factoid_f1,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,shuffle_snippets,factoid_f1,1,-0.003660698999682,,-0.003660698999682,-0.003660698999682
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,contradiction,list_f1,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,irrelevant_noise,list_f1,1,0.0571428571428571,,0.0571428571428571,0.0571428571428571
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,irrelevant_noise_heavy,list_f1,3,0.05555555555555553,0.059919320914847196,0.0,0.119047619047619
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,lexical_noise,list_f1,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,lexical_noise_heavy,list_f1,3,0.023809523809523798,0.041239304942116105,0.0,0.0714285714285714
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,lexical_noise_medium,list_f1,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,shuffle_snippets,list_f1,1,0.0,,0.0,0.0
