experiment,dataset,runtime,model,seed,perturbation,metric,value,baseline_value,delta,baseline_experiment,baseline_found
bioasq_TINY_mps_fp32_clean_seed13,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,13,clean,macro_avg,0.147944414933117,0.147944414933117,0.0,bioasq_TINY_mps_fp32_clean_seed13,True
bioasq_TINY_mps_fp32_clean_seed13,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,13,clean,yesno_acc,0.0,0.0,0.0,bioasq_TINY_mps_fp32_clean_seed13,True
bioasq_TINY_mps_fp32_clean_seed13,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,13,clean,factoid_f1,0.0689709595959596,0.0689709595959596,0.0,bioasq_TINY_mps_fp32_clean_seed13,True
bioasq_TINY_mps_fp32_clean_seed13,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,13,clean,list_f1,0.125,0.125,0.0,bioasq_TINY_mps_fp32_clean_seed13,True
bioasq_TINY_mps_fp32_clean_seed13,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,13,clean,summary_rougeL,0.39780670013650843,0.39780670013650843,0.0,bioasq_TINY_mps_fp32_clean_seed13,True
bioasq_TINY_mps_fp32_clean_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,42,clean,macro_avg,0.18545535703588023,0.18545535703588023,0.0,bioasq_TINY_mps_fp32_clean_seed42,True
bioasq_TINY_mps_fp32_clean_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,42,clean,yesno_acc,0.0,0.0,0.0,bioasq_TINY_mps_fp32_clean_seed42,True
bioasq_TINY_mps_fp32_clean_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,42,clean,factoid_f1,0.08608218406980017,0.08608218406980017,0.0,bioasq_TINY_mps_fp32_clean_seed42,True
bioasq_TINY_mps_fp32_clean_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,42,clean,list_f1,0.18571428571428572,0.18571428571428572,0.0,bioasq_TINY_mps_fp32_clean_seed42,True
bioasq_TINY_mps_fp32_clean_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,42,clean,summary_rougeL,0.4700249583594351,0.4700249583594351,0.0,bioasq_TINY_mps_fp32_clean_seed42,True
bioasq_TINY_mps_fp32_clean_seed97,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,97,clean,macro_avg,0.147944414933117,0.147944414933117,0.0,bioasq_TINY_mps_fp32_clean_seed97,True
bioasq_TINY_mps_fp32_clean_seed97,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,97,clean,yesno_acc,0.0,0.0,0.0,bioasq_TINY_mps_fp32_clean_seed97,True
bioasq_TINY_mps_fp32_clean_seed97,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,97,clean,factoid_f1,0.0689709595959596,0.0689709595959596,0.0,bioasq_TINY_mps_fp32_clean_seed97,True
bioasq_TINY_mps_fp32_clean_seed97,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,97,clean,list_f1,0.125,0.125,0.0,bioasq_TINY_mps_fp32_clean_seed97,True
bioasq_TINY_mps_fp32_clean_seed97,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,97,clean,summary_rougeL,0.39780670013650843,0.39780670013650843,0.0,bioasq_TINY_mps_fp32_clean_seed97,True
bioasq_TINY_mps_fp32_contradiction_seed13,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,13,contradiction,macro_avg,0.147944414933117,0.147944414933117,0.0,bioasq_TINY_mps_fp32_clean_seed13,True
bioasq_TINY_mps_fp32_contradiction_seed13,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,13,contradiction,yesno_acc,0.0,0.0,0.0,bioasq_TINY_mps_fp32_clean_seed13,True
bioasq_TINY_mps_fp32_contradiction_seed13,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,13,contradiction,factoid_f1,0.0689709595959596,0.0689709595959596,0.0,bioasq_TINY_mps_fp32_clean_seed13,True
bioasq_TINY_mps_fp32_contradiction_seed13,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,13,contradiction,list_f1,0.125,0.125,0.0,bioasq_TINY_mps_fp32_clean_seed13,True
bioasq_TINY_mps_fp32_contradiction_seed13,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,13,contradiction,summary_rougeL,0.39780670013650843,0.39780670013650843,0.0,bioasq_TINY_mps_fp32_clean_seed13,True
bioasq_TINY_mps_fp32_contradiction_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,42,contradiction,macro_avg,0.18545535703588023,0.18545535703588023,0.0,bioasq_TINY_mps_fp32_clean_seed42,True
bioasq_TINY_mps_fp32_contradiction_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,42,contradiction,yesno_acc,0.0,0.0,0.0,bioasq_TINY_mps_fp32_clean_seed42,True
bioasq_TINY_mps_fp32_contradiction_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,42,contradiction,factoid_f1,0.08608218406980017,0.08608218406980017,0.0,bioasq_TINY_mps_fp32_clean_seed42,True
bioasq_TINY_mps_fp32_contradiction_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,42,contradiction,list_f1,0.18571428571428572,0.18571428571428572,0.0,bioasq_TINY_mps_fp32_clean_seed42,True
bioasq_TINY_mps_fp32_contradiction_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,42,contradiction,summary_rougeL,0.4700249583594351,0.4700249583594351,0.0,bioasq_TINY_mps_fp32_clean_seed42,True
bioasq_TINY_mps_fp32_contradiction_seed97,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,97,contradiction,macro_avg,0.147944414933117,0.147944414933117,0.0,bioasq_TINY_mps_fp32_clean_seed97,True
bioasq_TINY_mps_fp32_contradiction_seed97,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,97,contradiction,yesno_acc,0.0,0.0,0.0,bioasq_TINY_mps_fp32_clean_seed97,True
bioasq_TINY_mps_fp32_contradiction_seed97,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,97,contradiction,factoid_f1,0.0689709595959596,0.0689709595959596,0.0,bioasq_TINY_mps_fp32_clean_seed97,True
bioasq_TINY_mps_fp32_contradiction_seed97,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,97,contradiction,list_f1,0.125,0.125,0.0,bioasq_TINY_mps_fp32_clean_seed97,True
bioasq_TINY_mps_fp32_contradiction_seed97,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,97,contradiction,summary_rougeL,0.39780670013650843,0.39780670013650843,0.0,bioasq_TINY_mps_fp32_clean_seed97,True
bioasq_TINY_mps_fp32_irrelevant_noise_heavy_seed13,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,13,irrelevant_noise_heavy,macro_avg,0.11461412998464311,0.147944414933117,-0.033330284948473884,bioasq_TINY_mps_fp32_clean_seed13,True
bioasq_TINY_mps_fp32_irrelevant_noise_heavy_seed13,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,13,irrelevant_noise_heavy,yesno_acc,0.0,0.0,0.0,bioasq_TINY_mps_fp32_clean_seed13,True
bioasq_TINY_mps_fp32_irrelevant_noise_heavy_seed13,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,13,irrelevant_noise_heavy,factoid_f1,0.0689709595959596,0.0689709595959596,0.0,bioasq_TINY_mps_fp32_clean_seed13,True
bioasq_TINY_mps_fp32_irrelevant_noise_heavy_seed13,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,13,irrelevant_noise_heavy,list_f1,0.0,0.125,-0.125,bioasq_TINY_mps_fp32_clean_seed13,True
bioasq_TINY_mps_fp32_irrelevant_noise_heavy_seed13,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,13,irrelevant_noise_heavy,summary_rougeL,0.38948556034261284,0.39780670013650843,-0.008321139793895593,bioasq_TINY_mps_fp32_clean_seed13,True
bioasq_TINY_mps_fp32_irrelevant_noise_heavy_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,42,irrelevant_noise_heavy,macro_avg,0.143616390169699,0.18545535703588023,-0.04183896686618124,bioasq_TINY_mps_fp32_clean_seed42,True
bioasq_TINY_mps_fp32_irrelevant_noise_heavy_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,42,irrelevant_noise_heavy,yesno_acc,0.0,0.0,0.0,bioasq_TINY_mps_fp32_clean_seed42,True
bioasq_TINY_mps_fp32_irrelevant_noise_heavy_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,42,irrelevant_noise_heavy,factoid_f1,0.0689709595959596,0.08608218406980017,-0.017111224473840572,bioasq_TINY_mps_fp32_clean_seed42,True
bioasq_TINY_mps_fp32_irrelevant_noise_heavy_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,42,irrelevant_noise_heavy,list_f1,0.047619047619047616,0.18571428571428572,-0.1380952380952381,bioasq_TINY_mps_fp32_clean_seed42,True
bioasq_TINY_mps_fp32_irrelevant_noise_heavy_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,42,irrelevant_noise_heavy,summary_rougeL,0.4578755534637888,0.4700249583594351,-0.01214940489564631,bioasq_TINY_mps_fp32_clean_seed42,True
bioasq_TINY_mps_fp32_irrelevant_noise_heavy_seed97,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,97,irrelevant_noise_heavy,macro_avg,0.16199153354484236,0.147944414933117,0.014047118611725362,bioasq_TINY_mps_fp32_clean_seed97,True
bioasq_TINY_mps_fp32_irrelevant_noise_heavy_seed97,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,97,irrelevant_noise_heavy,yesno_acc,0.0,0.0,0.0,bioasq_TINY_mps_fp32_clean_seed97,True
bioasq_TINY_mps_fp32_irrelevant_noise_heavy_seed97,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,97,irrelevant_noise_heavy,factoid_f1,0.09461198523698523,0.0689709595959596,0.025641025641025633,bioasq_TINY_mps_fp32_clean_seed97,True
bioasq_TINY_mps_fp32_irrelevant_noise_heavy_seed97,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,97,irrelevant_noise_heavy,list_f1,0.11904761904761905,0.125,-0.005952380952380945,bioasq_TINY_mps_fp32_clean_seed97,True
bioasq_TINY_mps_fp32_irrelevant_noise_heavy_seed97,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,97,irrelevant_noise_heavy,summary_rougeL,0.4343065298947652,0.39780670013650843,0.036499829758256774,bioasq_TINY_mps_fp32_clean_seed97,True
bioasq_TINY_mps_fp32_irrelevant_noise_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,42,irrelevant_noise,macro_avg,0.18536208986944233,0.18545535703588023,-9.326716643789923e-05,bioasq_TINY_mps_fp32_clean_seed42,True
bioasq_TINY_mps_fp32_irrelevant_noise_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,42,irrelevant_noise,yesno_acc,0.0,0.0,0.0,bioasq_TINY_mps_fp32_clean_seed42,True
bioasq_TINY_mps_fp32_irrelevant_noise_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,42,irrelevant_noise,factoid_f1,0.05577915376676987,0.08608218406980017,-0.030303030303030304,bioasq_TINY_mps_fp32_clean_seed42,True
bioasq_TINY_mps_fp32_irrelevant_noise_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,42,irrelevant_noise,list_f1,0.19999999999999998,0.18571428571428572,0.014285714285714263,bioasq_TINY_mps_fp32_clean_seed42,True
bioasq_TINY_mps_fp32_irrelevant_noise_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,42,irrelevant_noise,summary_rougeL,0.4856692057109995,0.4700249583594351,0.01564424735156439,bioasq_TINY_mps_fp32_clean_seed42,True
bioasq_TINY_mps_fp32_lexical_noise_heavy_seed13,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,13,lexical_noise_heavy,macro_avg,0.13737457961754362,0.147944414933117,-0.010569835315573373,bioasq_TINY_mps_fp32_clean_seed13,True
bioasq_TINY_mps_fp32_lexical_noise_heavy_seed13,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,13,lexical_noise_heavy,yesno_acc,0.0,0.0,0.0,bioasq_TINY_mps_fp32_clean_seed13,True
bioasq_TINY_mps_fp32_lexical_noise_heavy_seed13,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,13,lexical_noise_heavy,factoid_f1,0.07402146464646464,0.0689709595959596,0.005050505050505041,bioasq_TINY_mps_fp32_clean_seed13,True
bioasq_TINY_mps_fp32_lexical_noise_heavy_seed13,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,13,lexical_noise_heavy,list_f1,0.13333333333333333,0.125,0.008333333333333331,bioasq_TINY_mps_fp32_clean_seed13,True
